Kích_thước,Chiều_dài,Chu_vi,Màu_sắc,Chất_liệu,Kiểu_dáng,Họa_tiết,Phụ_kiện,Độ_dày,Tính_năng_đặc_biệt,Lứa_tuổi
M,131,96,Đen,Cotton,Quần,Kẻ caro,Thắt lưng,Dày,Thoáng khí,Thiếu niên
L,150,98,Xám,Denim,Quần,Đơn sắc,Không,Vừa,Chống nắng,Thiếu niên
XL,149,89,Trắng,Cotton,Quần,Đơn sắc,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
M,144,95,Trắng,Lụa,Áo khoác,Đơn sắc,Thắt lưng,Dày,Giữ ấm,Thiếu niên
L,123,82,Trắng,Denim,Váy,Đơn sắc,Cúc,Vừa,Thoáng khí,Thiếu niên
XL,125,93,Tím,Polyester,Quần,Đơn sắc,Không,Vừa,Chống nước,Thiếu niên
M,150,83,Tím,Lụa,Váy,Kẻ caro,Thắt lưng,Dày,Giữ ấm,Thiếu niên
L,129,80,Đen,Polyester,Chân váy,Trơn,Thắt lưng,Dày,Thoáng khí,Thiếu niên
XL,140,85,Xám,Lụa,Áo len,Trơn,Thắt lưng,Vừa,Chống nắng,Thiếu niên
M,145,96,Đen,Denim,Áo sơ mi,Trơn,Không,Dày,Chống nắng,Thiếu niên
L,127,80,Xám,Polyester,Áo sơ mi,Đơn sắc,Cúc,Dày,Giữ ấm,Thiếu niên
XL,130,86,Xám,Lụa,Quần,Đơn sắc,Khóa kéo,Vừa,Chống nước,Thiếu niên
M,123,94,Tím,Lụa,Chân váy,Kẻ caro,Không,Dày,Chống nước,Thiếu niên
L,145,99,Trắng,Cotton,Quần,Đơn sắc,Không,Vừa,Thoáng khí,Thiếu niên
XL,126,80,Xám,Lụa,Chân váy,Trơn,Cúc,Vừa,Chống nắng,Thiếu niên
M,141,90,Đen,Cotton,Áo len,Đơn sắc,Cúc,Dày,Chống nước,Thiếu niên
L,140,93,Trắng,Cotton,Áo sơ mi,Trơn,Khóa kéo,Dày,Giữ ấm,Thiếu niên
XL,147,94,Trắng,Denim,Áo sơ mi,Đơn sắc,Cúc,Dày,Chống nước,Thiếu niên
M,137,91,Tím,Lụa,Áo khoác,Trơn,Thắt lưng,Dày,Chống nước,Thiếu niên
L,145,86,Trắng,Lụa,Quần,Đơn sắc,Khóa kéo,Vừa,Thoáng khí,Thiếu niên
XL,121,85,Trắng,Cotton,Váy,Kẻ caro,Cúc,Dày,Giữ ấm,Thiếu niên
M,124,86,Đen,Lụa,Váy,Kẻ caro,Cúc,Vừa,Thoáng khí,Thiếu niên
L,129,95,Tím,Cotton,Áo len,Trơn,Không,Vừa,Chống nước,Thiếu niên
XL,132,99,Đen,Polyester,Áo len,Kẻ caro,Cúc,Vừa,Chống nắng,Thiếu niên
M,124,94,Xám,Denim,Áo sơ mi,Đơn sắc,Thắt lưng,Dày,Chống nước,Thiếu niên
L,141,88,Đen,Denim,Chân váy,Kẻ caro,Thắt lưng,Dày,Chống nước,Thiếu niên
XL,142,89,Xám,Cotton,Quần,Trơn,Cúc,Vừa,Chống nước,Thiếu niên
M,149,86,Trắng,Cotton,Áo len,Đơn sắc,Không,Dày,Giữ ấm,Thiếu niên
L,120,84,Tím,Cotton,Áo khoác,Trơn,Khóa kéo,Dày,Chống nắng,Thiếu niên
XL,126,81,Đen,Cotton,Chân váy,Kẻ caro,Khóa kéo,Dày,Chống nước,Thiếu niên
M,127,93,Đen,Cotton,Áo sơ mi,Đơn sắc,Cúc,Vừa,Thoáng khí,Thiếu niên
L,142,91,Tím,Lụa,Áo sơ mi,Trơn,Không,Dày,Giữ ấm,Thiếu niên
XL,137,84,Tím,Cotton,Váy,Đơn sắc,Thắt lưng,Dày,Thoáng khí,Thiếu niên
M,144,86,Xám,Denim,Áo len,Đơn sắc,Cúc,Dày,Chống nước,Thiếu niên
L,145,94,Tím,Cotton,Váy,Trơn,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
XL,127,84,Xám,Denim,Áo sơ mi,Kẻ caro,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
M,132,94,Tím,Denim,Quần,Trơn,Thắt lưng,Vừa,Thoáng khí,Thiếu niên
L,146,97,Xám,Lụa,Áo khoác,Kẻ caro,Cúc,Dày,Chống nắng,Thiếu niên
XL,142,98,Trắng,Lụa,Quần,Trơn,Không,Dày,Chống nước,Thiếu niên
M,122,83,Đen,Denim,Áo khoác,Trơn,Cúc,Dày,Chống nước,Thiếu niên
L,123,80,Trắng,Cotton,Váy,Kẻ caro,Khóa kéo,Dày,Chống nước,Thiếu niên
XL,137,87,Tím,Denim,Váy,Đơn sắc,Khóa kéo,Dày,Giữ ấm,Thiếu niên
M,136,97,Xám,Polyester,Chân váy,Trơn,Khóa kéo,Vừa,Thoáng khí,Thiếu niên
L,123,100,Trắng,Cotton,Áo sơ mi,Đơn sắc,Khóa kéo,Dày,Giữ ấm,Thiếu niên
XL,144,94,Tím,Lụa,Áo len,Đơn sắc,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
M,141,82,Đen,Denim,Áo len,Trơn,Cúc,Dày,Chống nắng,Thiếu niên
L,146,81,Xám,Cotton,Áo len,Đơn sắc,Khóa kéo,Dày,Chống nắng,Thiếu niên
XL,147,99,Xám,Lụa,Chân váy,Trơn,Khóa kéo,Dày,Giữ ấm,Thiếu niên
M,145,99,Xám,Polyester,Váy,Kẻ caro,Thắt lưng,Dày,Chống nước,Thiếu niên
L,137,80,Đen,Lụa,Váy,Trơn,Không,Vừa,Thoáng khí,Thiếu niên
XL,139,81,Xám,Denim,Áo khoác,Trơn,Cúc,Dày,Chống nước,Thiếu niên
M,121,96,Tím,Cotton,Chân váy,Đơn sắc,Không,Dày,Thoáng khí,Thiếu niên
L,131,83,Tím,Cotton,Áo khoác,Trơn,Không,Dày,Chống nắng,Thiếu niên
XL,138,85,Đen,Cotton,Chân váy,Đơn sắc,Khóa kéo,Vừa,Thoáng khí,Thiếu niên
M,143,82,Tím,Cotton,Quần,Đơn sắc,Thắt lưng,Dày,Chống nắng,Thiếu niên
L,130,83,Đen,Polyester,Quần,Trơn,Không,Vừa,Chống nắng,Thiếu niên
XL,126,95,Tím,Denim,Áo khoác,Kẻ caro,Không,Dày,Giữ ấm,Thiếu niên
M,140,93,Xám,Lụa,Áo len,Kẻ caro,Khóa kéo,Dày,Chống nước,Thiếu niên
L,133,84,Trắng,Cotton,Áo khoác,Kẻ caro,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
XL,127,90,Xám,Lụa,Áo khoác,Kẻ caro,Thắt lưng,Dày,Thoáng khí,Thiếu niên
M,139,89,Xám,Lụa,Áo sơ mi,Trơn,Khóa kéo,Dày,Chống nước,Thiếu niên
L,134,83,Xám,Polyester,Áo sơ mi,Kẻ caro,Khóa kéo,Dày,Chống nước,Thiếu niên
XL,143,97,Xám,Cotton,Áo khoác,Trơn,Khóa kéo,Dày,Chống nắng,Thiếu niên
M,143,94,Đen,Lụa,Chân váy,Kẻ caro,Cúc,Dày,Giữ ấm,Thiếu niên
L,124,100,Xám,Denim,Áo khoác,Đơn sắc,Cúc,Vừa,Chống nước,Thiếu niên
XL,135,91,Xám,Denim,Áo khoác,Đơn sắc,Khóa kéo,Vừa,Thoáng khí,Thiếu niên
M,140,95,Xám,Cotton,Áo khoác,Kẻ caro,Không,Dày,Thoáng khí,Thiếu niên
L,127,99,Đen,Lụa,Váy,Đơn sắc,Khóa kéo,Vừa,Chống nắng,Thiếu niên
XL,122,92,Đen,Denim,Áo khoác,Trơn,Cúc,Dày,Giữ ấm,Thiếu niên
M,121,86,Xám,Polyester,Áo sơ mi,Trơn,Cúc,Dày,Chống nắng,Thiếu niên
L,128,100,Tím,Polyester,Áo sơ mi,Trơn,Khóa kéo,Dày,Thoáng khí,Thiếu niên
XL,143,97,Tím,Polyester,Áo khoác,Trơn,Khóa kéo,Dày,Giữ ấm,Thiếu niên
M,134,92,Đen,Cotton,Áo khoác,Trơn,Không,Vừa,Giữ ấm,Thiếu niên
L,124,99,Xám,Lụa,Váy,Đơn sắc,Thắt lưng,Vừa,Thoáng khí,Thiếu niên
XL,121,87,Xám,Denim,Áo sơ mi,Kẻ caro,Cúc,Dày,Chống nắng,Thiếu niên
M,131,93,Xám,Polyester,Quần,Đơn sắc,Thắt lưng,Dày,Chống nước,Thiếu niên
L,130,92,Tím,Lụa,Áo khoác,Đơn sắc,Cúc,Dày,Giữ ấm,Thiếu niên
XL,121,94,Tím,Denim,Áo khoác,Trơn,Cúc,Dày,Giữ ấm,Thiếu niên
M,137,87,Trắng,Lụa,Quần,Đơn sắc,Không,Dày,Chống nắng,Thiếu niên
L,122,97,Đen,Cotton,Chân váy,Kẻ caro,Khóa kéo,Vừa,Chống nắng,Thiếu niên
XL,130,95,Tím,Cotton,Áo len,Đơn sắc,Không,Dày,Chống nắng,Thiếu niên
M,144,94,Xám,Polyester,Áo khoác,Đơn sắc,Không,Dày,Chống nắng,Thiếu niên
L,127,100,Trắng,Polyester,Áo khoác,Kẻ caro,Không,Vừa,Giữ ấm,Thiếu niên
XL,133,93,Đen,Polyester,Váy,Trơn,Không,Dày,Chống nắng,Thiếu niên
M,135,92,Xám,Denim,Chân váy,Kẻ caro,Thắt lưng,Dày,Chống nước,Thiếu niên
L,142,98,Tím,Polyester,Áo len,Trơn,Khóa kéo,Dày,Chống nắng,Thiếu niên
XL,136,82,Xám,Cotton,Chân váy,Trơn,Khóa kéo,Dày,Chống nắng,Thiếu niên
M,136,95,Trắng,Denim,Áo len,Đơn sắc,Cúc,Dày,Chống nắng,Thiếu niên
L,144,100,Xám,Cotton,Váy,Kẻ caro,Khóa kéo,Vừa,Thoáng khí,Thiếu niên
XL,127,98,Xám,Polyester,Quần,Kẻ caro,Thắt lưng,Dày,Giữ ấm,Thiếu niên
M,127,80,Tím,Denim,Chân váy,Trơn,Cúc,Vừa,Chống nắng,Thiếu niên
L,136,83,Tím,Cotton,Áo sơ mi,Trơn,Không,Dày,Chống nắng,Thiếu niên
XL,149,80,Xám,Lụa,Áo len,Đơn sắc,Cúc,Dày,Giữ ấm,Thiếu niên
M,128,98,Tím,Denim,Quần,Kẻ caro,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
L,145,82,Xám,Cotton,Áo khoác,Kẻ caro,Khóa kéo,Vừa,Thoáng khí,Thiếu niên
XL,120,83,Xám,Cotton,Váy,Đơn sắc,Không,Dày,Thoáng khí,Thiếu niên
M,127,80,Đen,Lụa,Áo len,Kẻ caro,Cúc,Dày,Chống nước,Thiếu niên
L,129,95,Đen,Cotton,Áo sơ mi,Đơn sắc,Khóa kéo,Dày,Thoáng khí,Thiếu niên
XL,127,100,Xám,Polyester,Áo sơ mi,Kẻ caro,Khóa kéo,Dày,Giữ ấm,Thiếu niên
M,121,97,Tím,Denim,Áo khoác,Trơn,Thắt lưng,Dày,Giữ ấm,Thiếu niên
L,139,93,Tím,Polyester,Áo len,Trơn,Không,Dày,Giữ ấm,Thiếu niên
XL,141,91,Xám,Lụa,Áo khoác,Đơn sắc,Không,Vừa,Thoáng khí,Thiếu niên
M,144,99,Tím,Denim,Quần,Đơn sắc,Khóa kéo,Dày,Chống nắng,Thiếu niên
L,127,80,Trắng,Polyester,Chân váy,Trơn,Khóa kéo,Dày,Thoáng khí,Thiếu niên
XL,133,86,Đen,Denim,Chân váy,Đơn sắc,Thắt lưng,Dày,Thoáng khí,Thiếu niên
M,146,94,Xám,Polyester,Chân váy,Đơn sắc,Cúc,Dày,Chống nước,Thiếu niên
L,131,89,Xám,Polyester,Áo sơ mi,Kẻ caro,Không,Vừa,Chống nắng,Thiếu niên
XL,124,81,Đen,Polyester,Áo khoác,Trơn,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
M,130,97,Xám,Polyester,Quần,Trơn,Cúc,Vừa,Chống nắng,Thiếu niên
L,137,93,Trắng,Lụa,Quần,Kẻ caro,Cúc,Vừa,Giữ ấm,Thiếu niên
XL,122,96,Tím,Lụa,Áo len,Trơn,Không,Dày,Chống nước,Thiếu niên
M,131,92,Trắng,Denim,Áo len,Đơn sắc,Thắt lưng,Dày,Chống nắng,Thiếu niên
L,140,87,Tím,Denim,Chân váy,Đơn sắc,Cúc,Vừa,Giữ ấm,Thiếu niên
XL,134,92,Tím,Denim,Váy,Kẻ caro,Thắt lưng,Vừa,Chống nắng,Thiếu niên
M,135,82,Đen,Denim,Áo sơ mi,Trơn,Khóa kéo,Dày,Giữ ấm,Thiếu niên
L,141,80,Tím,Lụa,Váy,Trơn,Không,Vừa,Thoáng khí,Thiếu niên
XL,121,89,Tím,Lụa,Váy,Trơn,Thắt lưng,Dày,Thoáng khí,Thiếu niên
M,124,84,Xám,Lụa,Váy,Kẻ caro,Cúc,Vừa,Thoáng khí,Thiếu niên
L,129,80,Tím,Denim,Chân váy,Kẻ caro,Cúc,Vừa,Chống nắng,Thiếu niên
XL,129,80,Trắng,Denim,Áo sơ mi,Trơn,Không,Vừa,Giữ ấm,Thiếu niên
M,124,93,Xám,Lụa,Áo sơ mi,Kẻ caro,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
L,149,89,Tím,Polyester,Váy,Đơn sắc,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
XL,139,88,Tím,Polyester,Quần,Đơn sắc,Thắt lưng,Dày,Giữ ấm,Thiếu niên
M,138,94,Tím,Cotton,Chân váy,Đơn sắc,Thắt lưng,Dày,Giữ ấm,Thiếu niên
L,120,94,Trắng,Polyester,Áo sơ mi,Trơn,Cúc,Vừa,Thoáng khí,Thiếu niên
XL,130,91,Đen,Denim,Áo khoác,Trơn,Không,Dày,Chống nắng,Thiếu niên
M,134,89,Xám,Cotton,Áo sơ mi,Trơn,Không,Vừa,Chống nước,Thiếu niên
L,141,82,Đen,Cotton,Áo khoác,Trơn,Không,Vừa,Chống nước,Thiếu niên
XL,126,98,Đen,Polyester,Áo sơ mi,Đơn sắc,Cúc,Dày,Giữ ấm,Thiếu niên
M,124,98,Tím,Lụa,Áo sơ mi,Trơn,Cúc,Dày,Thoáng khí,Thiếu niên
L,131,100,Trắng,Cotton,Chân váy,Trơn,Cúc,Dày,Giữ ấm,Thiếu niên
XL,150,93,Tím,Cotton,Chân váy,Kẻ caro,Cúc,Vừa,Chống nước,Thiếu niên
M,141,85,Tím,Lụa,Váy,Đơn sắc,Không,Dày,Chống nắng,Thiếu niên
L,148,97,Trắng,Denim,Áo len,Trơn,Cúc,Dày,Giữ ấm,Thiếu niên
XL,140,84,Trắng,Polyester,Quần,Kẻ caro,Không,Dày,Thoáng khí,Thiếu niên
M,133,94,Tím,Polyester,Quần,Đơn sắc,Cúc,Dày,Giữ ấm,Thiếu niên
L,138,82,Tím,Lụa,Chân váy,Đơn sắc,Cúc,Vừa,Thoáng khí,Thiếu niên
XL,145,81,Xám,Denim,Váy,Trơn,Khóa kéo,Vừa,Chống nắng,Thiếu niên
M,121,98,Tím,Lụa,Áo len,Kẻ caro,Cúc,Vừa,Chống nước,Thiếu niên
L,131,96,Xám,Lụa,Chân váy,Đơn sắc,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
XL,131,96,Trắng,Lụa,Chân váy,Trơn,Cúc,Vừa,Chống nắng,Thiếu niên
M,125,90,Đen,Polyester,Áo khoác,Kẻ caro,Cúc,Dày,Chống nắng,Thiếu niên
L,139,93,Xám,Cotton,Chân váy,Trơn,Thắt lưng,Dày,Chống nước,Thiếu niên
XL,136,83,Xám,Lụa,Váy,Kẻ caro,Không,Dày,Thoáng khí,Thiếu niên
M,126,85,Trắng,Cotton,Áo sơ mi,Đơn sắc,Cúc,Vừa,Thoáng khí,Thiếu niên
L,121,94,Trắng,Lụa,Váy,Đơn sắc,Không,Vừa,Chống nước,Thiếu niên
XL,130,91,Tím,Lụa,Áo khoác,Đơn sắc,Không,Dày,Thoáng khí,Thiếu niên
M,135,88,Đen,Cotton,Áo khoác,Kẻ caro,Khóa kéo,Dày,Thoáng khí,Thiếu niên
L,145,98,Trắng,Cotton,Áo len,Trơn,Không,Vừa,Chống nắng,Thiếu niên
XL,147,81,Xám,Polyester,Áo khoác,Đơn sắc,Không,Vừa,Giữ ấm,Thiếu niên
M,129,86,Đen,Polyester,Váy,Kẻ caro,Thắt lưng,Dày,Chống nước,Thiếu niên
L,136,88,Trắng,Polyester,Váy,Trơn,Thắt lưng,Vừa,Chống nước,Thiếu niên
XL,125,100,Xám,Cotton,Áo khoác,Đơn sắc,Khóa kéo,Dày,Chống nước,Thiếu niên
M,135,93,Đen,Cotton,Chân váy,Kẻ caro,Cúc,Vừa,Chống nước,Thiếu niên
L,120,92,Tím,Cotton,Quần,Trơn,Khóa kéo,Dày,Thoáng khí,Thiếu niên
XL,135,84,Tím,Cotton,Áo len,Kẻ caro,Cúc,Vừa,Thoáng khí,Thiếu niên
M,143,89,Tím,Denim,Áo sơ mi,Trơn,Thắt lưng,Vừa,Chống nước,Thiếu niên
L,127,91,Trắng,Lụa,Áo len,Kẻ caro,Cúc,Vừa,Giữ ấm,Thiếu niên
XL,128,99,Xám,Polyester,Chân váy,Trơn,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
M,128,83,Đen,Lụa,Váy,Kẻ caro,Khóa kéo,Vừa,Thoáng khí,Thiếu niên
L,125,80,Trắng,Polyester,Áo sơ mi,Đơn sắc,Thắt lưng,Vừa,Chống nắng,Thiếu niên
XL,144,95,Trắng,Denim,Áo sơ mi,Trơn,Không,Dày,Chống nắng,Thiếu niên
M,141,83,Tím,Lụa,Áo sơ mi,Trơn,Thắt lưng,Dày,Thoáng khí,Thiếu niên
L,144,84,Tím,Cotton,Áo sơ mi,Trơn,Không,Dày,Chống nắng,Thiếu niên
XL,141,98,Xám,Cotton,Quần,Trơn,Không,Dày,Chống nước,Thiếu niên
M,134,93,Tím,Lụa,Áo len,Đơn sắc,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
L,127,84,Tím,Polyester,Chân váy,Trơn,Thắt lưng,Vừa,Thoáng khí,Thiếu niên
XL,132,89,Đen,Lụa,Áo sơ mi,Trơn,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
M,125,92,Tím,Polyester,Áo khoác,Trơn,Cúc,Vừa,Chống nước,Thiếu niên
L,145,99,Xám,Cotton,Quần,Trơn,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
XL,143,81,Đen,Polyester,Áo sơ mi,Đơn sắc,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
M,127,99,Trắng,Polyester,Quần,Đơn sắc,Thắt lưng,Vừa,Chống nắng,Thiếu niên
L,137,97,Tím,Polyester,Váy,Kẻ caro,Khóa kéo,Dày,Chống nước,Thiếu niên
XL,138,82,Tím,Denim,Áo sơ mi,Trơn,Khóa kéo,Dày,Chống nước,Thiếu niên
M,143,90,Đen,Polyester,Áo khoác,Đơn sắc,Thắt lưng,Vừa,Chống nước,Thiếu niên
L,130,82,Xám,Cotton,Áo len,Kẻ caro,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
XL,140,97,Tím,Polyester,Áo sơ mi,Trơn,Cúc,Vừa,Giữ ấm,Thiếu niên
M,136,84,Đen,Denim,Áo khoác,Kẻ caro,Không,Vừa,Thoáng khí,Thiếu niên
L,136,89,Xám,Denim,Quần,Đơn sắc,Khóa kéo,Dày,Chống nắng,Thiếu niên
XL,133,86,Xám,Denim,Áo len,Đơn sắc,Không,Dày,Thoáng khí,Thiếu niên
M,146,81,Tím,Cotton,Áo khoác,Trơn,Không,Dày,Chống nước,Thiếu niên
L,136,85,Đen,Lụa,Quần,Kẻ caro,Không,Vừa,Chống nước,Thiếu niên
XL,148,87,Tím,Polyester,Quần,Đơn sắc,Cúc,Vừa,Giữ ấm,Thiếu niên
M,147,84,Đen,Denim,Chân váy,Trơn,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
L,120,95,Tím,Cotton,Váy,Kẻ caro,Khóa kéo,Dày,Chống nắng,Thiếu niên
XL,145,88,Tím,Denim,Áo sơ mi,Kẻ caro,Không,Dày,Chống nắng,Thiếu niên
M,124,91,Trắng,Lụa,Váy,Kẻ caro,Cúc,Vừa,Giữ ấm,Thiếu niên
L,140,81,Xám,Denim,Chân váy,Đơn sắc,Thắt lưng,Dày,Chống nắng,Thiếu niên
XL,138,86,Xám,Lụa,Quần,Trơn,Không,Vừa,Giữ ấm,Thiếu niên
M,145,90,Xám,Cotton,Quần,Trơn,Không,Vừa,Giữ ấm,Thiếu niên
L,133,99,Đen,Denim,Áo khoác,Đơn sắc,Khóa kéo,Dày,Thoáng khí,Thiếu niên
XL,138,82,Tím,Denim,Quần,Kẻ caro,Khóa kéo,Dày,Chống nước,Thiếu niên
M,127,100,Xám,Cotton,Áo sơ mi,Trơn,Thắt lưng,Dày,Thoáng khí,Thiếu niên
L,148,83,Xám,Cotton,Chân váy,Đơn sắc,Thắt lưng,Dày,Giữ ấm,Thiếu niên
XL,150,95,Xám,Cotton,Váy,Đơn sắc,Cúc,Dày,Giữ ấm,Thiếu niên
M,128,89,Tím,Polyester,Áo khoác,Đơn sắc,Không,Vừa,Giữ ấm,Thiếu niên
L,140,99,Đen,Polyester,Váy,Đơn sắc,Không,Vừa,Chống nước,Thiếu niên
XL,122,93,Trắng,Cotton,Chân váy,Kẻ caro,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
M,141,98,Đen,Lụa,Quần,Kẻ caro,Thắt lưng,Dày,Giữ ấm,Thiếu niên
L,143,90,Đen,Denim,Áo len,Đơn sắc,Khóa kéo,Dày,Chống nắng,Thiếu niên
XL,144,86,Đen,Lụa,Áo sơ mi,Đơn sắc,Thắt lưng,Vừa,Chống nước,Thiếu niên
M,134,94,Tím,Cotton,Váy,Đơn sắc,Không,Vừa,Giữ ấm,Thiếu niên
L,120,89,Trắng,Denim,Quần,Đơn sắc,Khóa kéo,Dày,Giữ ấm,Thiếu niên
XL,140,98,Tím,Denim,Chân váy,Đơn sắc,Khóa kéo,Dày,Giữ ấm,Thiếu niên
M,121,99,Tím,Lụa,Váy,Đơn sắc,Không,Vừa,Chống nước,Thiếu niên
L,123,80,Xám,Polyester,Chân váy,Đơn sắc,Không,Vừa,Thoáng khí,Thiếu niên
XL,146,99,Xám,Cotton,Áo khoác,Đơn sắc,Không,Vừa,Giữ ấm,Thiếu niên
M,127,97,Tím,Lụa,Áo khoác,Kẻ caro,Cúc,Dày,Chống nắng,Thiếu niên
L,140,96,Tím,Polyester,Quần,Kẻ caro,Khóa kéo,Dày,Chống nước,Thiếu niên
XL,131,92,Đen,Lụa,Váy,Kẻ caro,Thắt lưng,Vừa,Chống nắng,Thiếu niên
M,145,85,Xám,Cotton,Quần,Trơn,Thắt lưng,Dày,Chống nắng,Thiếu niên
L,127,84,Đen,Lụa,Quần,Đơn sắc,Khóa kéo,Vừa,Chống nắng,Thiếu niên
XL,126,84,Xám,Polyester,Áo khoác,Kẻ caro,Thắt lưng,Dày,Giữ ấm,Thiếu niên
M,125,85,Trắng,Polyester,Quần,Trơn,Khóa kéo,Vừa,Chống nước,Thiếu niên
L,150,100,Đen,Polyester,Quần,Kẻ caro,Cúc,Dày,Giữ ấm,Thiếu niên
XL,136,85,Đen,Polyester,Quần,Kẻ caro,Cúc,Dày,Chống nắng,Thiếu niên
M,146,100,Trắng,Cotton,Váy,Trơn,Không,Vừa,Thoáng khí,Thiếu niên
L,133,84,Trắng,Cotton,Áo khoác,Trơn,Cúc,Dày,Chống nước,Thiếu niên
XL,144,95,Đen,Lụa,Quần,Đơn sắc,Cúc,Vừa,Giữ ấm,Thiếu niên
M,133,89,Đen,Lụa,Áo khoác,Trơn,Thắt lưng,Dày,Chống nắng,Thiếu niên
L,127,99,Đen,Cotton,Áo khoác,Đơn sắc,Không,Dày,Giữ ấm,Thiếu niên
XL,127,91,Tím,Lụa,Áo len,Kẻ caro,Thắt lưng,Dày,Giữ ấm,Thiếu niên
M,132,99,Xám,Denim,Váy,Trơn,Khóa kéo,Dày,Chống nắng,Thiếu niên
L,144,97,Tím,Polyester,Chân váy,Trơn,Khóa kéo,Vừa,Chống nắng,Thiếu niên
XL,124,89,Trắng,Lụa,Áo sơ mi,Trơn,Không,Dày,Chống nắng,Thiếu niên
M,133,92,Trắng,Polyester,Áo khoác,Kẻ caro,Không,Vừa,Thoáng khí,Thiếu niên
L,136,99,Xám,Denim,Váy,Đơn sắc,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
XL,150,85,Trắng,Polyester,Áo len,Trơn,Thắt lưng,Vừa,Thoáng khí,Thiếu niên
M,123,92,Tím,Denim,Áo sơ mi,Kẻ caro,Khóa kéo,Vừa,Giữ ấm,Thiếu niên
L,127,80,Xám,Cotton,Áo khoác,Kẻ caro,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
XL,127,95,Đen,Cotton,Quần,Kẻ caro,Cúc,Vừa,Chống nắng,Thiếu niên
M,124,81,Đen,Polyester,Váy,Trơn,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
L,128,80,Xám,Denim,Váy,Trơn,Cúc,Vừa,Giữ ấm,Thiếu niên
XL,143,87,Tím,Lụa,Áo khoác,Đơn sắc,Cúc,Vừa,Thoáng khí,Thiếu niên
M,130,90,Xám,Cotton,Quần,Trơn,Cúc,Vừa,Chống nắng,Thiếu niên
L,127,93,Xám,Lụa,Váy,Đơn sắc,Không,Vừa,Thoáng khí,Thiếu niên
XL,134,95,Trắng,Cotton,Chân váy,Đơn sắc,Khóa kéo,Vừa,Chống nắng,Thiếu niên
M,137,98,Tím,Cotton,Chân váy,Trơn,Thắt lưng,Vừa,Thoáng khí,Thiếu niên
L,148,85,Xám,Polyester,Chân váy,Trơn,Khóa kéo,Vừa,Chống nắng,Thiếu niên
XL,149,91,Đen,Polyester,Áo sơ mi,Trơn,Thắt lưng,Dày,Giữ ấm,Thiếu niên
M,128,88,Xám,Cotton,Quần,Đơn sắc,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
L,128,85,Đen,Denim,Quần,Kẻ caro,Khóa kéo,Vừa,Chống nắng,Thiếu niên
XL,137,98,Tím,Cotton,Váy,Kẻ caro,Thắt lưng,Dày,Thoáng khí,Thiếu niên
M,130,82,Trắng,Cotton,Áo len,Đơn sắc,Cúc,Dày,Giữ ấm,Thiếu niên
L,148,98,Tím,Denim,Áo len,Kẻ caro,Cúc,Dày,Thoáng khí,Thiếu niên
XL,133,83,Trắng,Cotton,Chân váy,Đơn sắc,Không,Dày,Chống nắng,Thiếu niên
M,132,86,Trắng,Cotton,Áo sơ mi,Trơn,Cúc,Vừa,Thoáng khí,Thiếu niên
L,120,96,Đen,Polyester,Áo sơ mi,Kẻ caro,Khóa kéo,Dày,Giữ ấm,Thiếu niên
XL,135,93,Trắng,Lụa,Quần,Kẻ caro,Thắt lưng,Vừa,Thoáng khí,Thiếu niên
M,127,95,Xám,Lụa,Quần,Đơn sắc,Không,Vừa,Chống nắng,Thiếu niên
L,148,83,Tím,Cotton,Áo len,Đơn sắc,Không,Dày,Chống nước,Thiếu niên
XL,147,91,Tím,Polyester,Váy,Đơn sắc,Cúc,Vừa,Chống nước,Thiếu niên
M,133,91,Xám,Denim,Áo len,Kẻ caro,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
L,130,82,Xám,Polyester,Áo sơ mi,Kẻ caro,Khóa kéo,Vừa,Chống nước,Thiếu niên
XL,130,93,Tím,Polyester,Chân váy,Trơn,Cúc,Dày,Chống nước,Thiếu niên
M,131,90,Tím,Lụa,Áo len,Trơn,Thắt lưng,Vừa,Giữ ấm,Thiếu niên
L,131,89,Đen,Cotton,Chân váy,Trơn,Cúc,Vừa,Thoáng khí,Thiếu niên
XL,130,91,Đen,Polyester,Áo sơ mi,Đơn sắc,Không,Vừa,Thoáng khí,Thiếu niên
